filename,domain,paragraph_count,char_count,used_as_configured_source
C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,agri_logistics,58,18256,yes
FCH公司生鲜农产品配送路径优化研究_徐小雨.pdf,agri_logistics,23,7344,yes
京津冀农产品物流需求预测与物流网络构建研究_薛晓博.pdf,agri_logistics,59,17782,yes
农业全产业链发展水平评价研究_徐靖.pdf,agri_logistics,52,15959,yes
双碳目标下生鲜农产品冷链配送路径优化研究_牛忍.pdf,agri_logistics,5,1586,yes
政府规制下生鲜农产品供应链的区块链溯源决策研究_蒋凤娇.pdf,agri_logistics,26,7475,yes
基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,computer_vision,111,34360,yes
基于卷积神经网络的人脸表情识别与应用_王以诺.pdf,computer_vision,49,14856,yes
中国传统文化绘本在小学语文阅读教学中的应用研究_龚婧.pdf,education,6,1840,yes
小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,education,31,9612,yes
ESG表现对企业避税的影响研究_常林.pdf,finance_management,66,19672,yes
XH公司绿色债券发行动因与效应研究_吕嘉玮.pdf,finance_management,83,25925,yes
“新事实-新规范”路径下虚拟财产的解释_陈亦洲.pdf,law,36,11058,yes
个人数字遗产继承的法律保护研究_李苗苗.pdf,law,10,2968,yes
平台处罚的行政法规制_吴树贞.pdf,law,50,16026,yes
影评类短视频侵权纠纷中合理使用认定研究_连宇馨.pdf,law,41,12993,yes
数字遗产继承问题研究_李欣.pdf,law,9,2879,yes
基于深度学习的CT图像肺部结节检测与分割研究_杜禹博.pdf,medical_material,35,10682,yes
基于聚乙烯醇水凝胶的功能化应用研究_耿敬天.pdf,medical_material,77,24163,yes
改性氧化锌催化剂制备及催化降解有机污染物的研究_何书桓.pdf,medical_material,59,18291,yes
基于TF-IDF和机器学习的文本向量化与分类研究_石慧.pdf,text_similarity,29,9062,yes
多特征融合的短文本语义相似度计算方法研究_张凝.pdf,text_similarity,71,22421,yes
深度学习框架下系统查重的研究与应用_雷子旺.pdf,text_similarity,29,9301,yes
